Internal_Site_ID,Kabupaten/Kota,CityCode,RegionalCode,Alamat1,Alamat2,Alamat3,Alamat4,SiteName,Funcloc
ADL-10-001,Kabupaten Konawe Selatan,ADL,10,JL. TENGGIRI,DS. MOOLO INDAH,KEC. TINANGGEA,KONAWE SELATAN,CLARK-BAKER,100000001078
ADL-10-002,Kabupaten Konawe Selatan,ADL,10,JL POROS TINANGGEA TOROBULU,DS ULU LAKARA,KEC PALANGGA SELATAN,KONAWE SELATAN,SANCHEZ-JACKSON,100000001079
ADL-10-003,Kabupaten Konawe Selatan,ADL,10,JL. POROS KENDARI - BOMBANA,DS. TATANGGE,KEC. TINANGGEA,KONAWE SELATAN,RUIZ GROUP,100000001080
ADL-10-004,Kabupaten Konawe Selatan,ADL,10,DESA MEKAR JAYA,DESA MEKAR JAYA,KEC. BAITO,KONAWE SELATAN,"ANDERSON, HAYES AND MENDEZ",100000001081
ADL-10-005,Kabupaten Konawe Selatan,ADL,10,"JALAN POROS KENDARI-MORAMO, RT 01 RW 01",DESA TAMBOSUPA,KEC. MORAMO,KONAWE SELATAN,"BISHOP, SMITH AND GREENE",100000001082
ADL-10-006,Kabupaten Konawe Selatan,ADL,10,JL POROS BENUA BASALAH,BENUA BASALAH,KEC BENUA,KONAWE SELATAN,"MARTIN, FUENTES AND FISHER",100000001995
ADL-10-007,Kabupaten Konawe Selatan,ADL,10,JL.POROS KENDARI - MORAMO,KEL.LALOWARU,KEC.MORAMO UTARA,KONAWE SELATAN,MCMILLAN-GLASS,100000005016
ADL-10-008,Kabupaten Konawe Selatan,ADL,10,"DUSUN 1,","DESA PUDAMBU,",KEC. ANGATA,KONAWE SELATAN,RUIZ-ALLEN,100000005045
ADL-10-009,Kabupaten Konawe Selatan,ADL,10,GN POPALIA,POPALIA,POPALIA,KONAWE SELATAN,COLEMAN-STEPHENS,100000012313
ADL-10-010,Kabupaten Konawe Selatan,ADL,10,JL POROS KENDARI-BOMBANADESA PUN,KEL. KONAWE SELATAN,KEC. KONAWE SELATAN,KONAWE SELATAN,"ALVARADO, MCCLAIN AND BAILEY",100000018777
ADL-10-011,Kabupaten Konawe Selatan,ADL,10,JL. POROS LOLANGGASU,DESA LOLANGGASU,KEC. TINANGGEA,KONAWE SELATAN,GARCIA LTD,100000022154
ADL-10-012,Kabupaten Konawe Selatan,ADL,10,"SANGGI-SANGGI, DESA SANGGI-SANGGI",DS SANGGI-SANGGI,PALANGGA,KONAWE SELATAN,WILLIAMS INC,100000045121
ADL-10-013,Kabupaten Konawe Selatan,ADL,10,DESA MEKAR SARI R. 01,KONAWE SELATAN,KONAWE SELATAN,KONAWE SELATAN,"HOLMES, HAMILTON AND SIMPSON",100000049030
ADL-10-014,Kabupaten Konawe Selatan,ADL,10,DESA LAMBANGI KEC.KOLONO,DS LAMBANGI,KOLONO,KONAWE SELATAN,ONEAL PLC,100000057811
AGM-03-001,Kabupaten Bengkulu Utara,AGM,3,DESA ALUN DUA,DESA ALUN DUA,KECAMATAN KERKAP,BENGKULU UTARA,STEELE-PHILLIPS,100000000002
AGM-03-002,Kabupaten Bengkulu Utara,AGM,3,DESA TALANG RASAU DUDUN III,DESA TALANG RASAU DUDUN III,KEC. LAIS,BENGKULU UTARA,LEBLANC AND SONS,100000001086
AGM-03-003,Kabupaten Bengkulu Utara,AGM,3,DESA RENA JAYA,DESA RENA JAYA,KECAMATAN GIRI MULYA,BENGKULU UTARA,"SHARP, KRUEGER AND FOWLER",100000001087
AGM-03-004,Kabupaten Bengkulu Utara,AGM,3,DESA KARYA BAKTI,DESA KARYA BAKTI,KECAMATAN PUTERI HIJAU,BENGKULU UTARA,SMITH AND SONS,100000001088
AGM-03-005,Kabupaten Bengkulu Utara,AGM,3,DESA ULAK TANDING,DESA ULAK TANDING,KECAMATAN BATIKNAU,BENGKULU UTARA,PAGE LLC,100000001089
AGM-03-006,Kabupaten Bengkulu Utara,AGM,3,DESA BUMI HARJO,DESA BUMI HARJO,KECAMATAN KETAHUN,BENGKULU UTARA,"HOWARD, WIGGINS AND WILLIAMS",100000005384
AGM-03-007,Kabupaten Bengkulu Utara,AGM,3,DESA ARGAMULYA KECAMATAN PADANG JAYA,ARGAMULYA,PADANG JAYA,BENGKULU UTARA,DUKE INC,100000031499
AGM-03-008,Kabupaten Bengkulu Utara,AGM,3,DUSUN TRIYONO RT 003 RW 000 DESA CIPTA M,CIPTA MULYA,PUTRI HIJAU,BENGKULU UTARA,HENRY GROUP,100000035477
AGM-03-009,Kabupaten Bengkulu Utara,AGM,3,JL. RAYA RENAJAYA DUSUN I RT 03. KEL. RE,RENAJAYA,GIRIMULYA,BENGKULU UTARA,"ALVARADO, DOUGLAS AND ROBBINS",100000035480
AGM-03-010,Kabupaten Bengkulu Utara,AGM,3,DUSUN SUKO HARJO RT.02/01 DESA AIR PETAI,DS AIR PETAI,PUTRI HIJAU,BENGKULU UTARA,WILLIAMS LLC,100000048218
AGM-03-011,Kabupaten Bengkulu Utara,AGM,3,DESA PERBO KEL.PERBO KEC.KERKAP,LUBUK JALE,KERKAP,BENGKULU UTARA,CHAN INC,100000057204
AGM-03-012,Kabupaten Bengkulu Utara,AGM,3,TELUK ANGGUNG RT.-/- DESA TELUK ANGGUNG,DS TELUK ANGGUNG,NAPAL,BENGKULU UTARA,FOX INC,100000057686
AGM-03-013,Kabupaten Bengkulu Utara,AGM,3,DS.DATAR LEBAR RT.-/- KEC.LAIS,DS DATAR LEBAR,LAIS,BENGKULU UTARA,"ROBLES, MARTIN AND REED",100000057717
AGM-03-014,Kabupaten Bengkulu Utara,AGM,3,DS.MESIGIT RT.-/- KEC.AIR PADANG,DS MESIGIT,AIR PADANG,BENGKULU UTARA,SMITH-SMITH,100000058750
AGM-03-015,Kabupaten Bengkulu Utara,AGM,3,DESA TALANG GINTING RT.-/- KEC.AIR BESI,DS TALANG GINTING,AIR BESI,BENGKULU UTARA,CONTRERAS-PERKINS,100000058751
AKK-01-001,Kabupaten Labuhanbatu Utara,AKK,1,DESA PADANG MANINJAU,KEL. DESA PADANG MANINJAU,KEC. AEK KUO,LABUHANBATU UTARA,"HERRERA, BARNES AND TAYLOR",100000000003
AKK-01-002,Kabupaten Labuhanbatu Utara,AKK,1,DESA BIO-BIO,KEL. BANDAR DURIAN,KEC. AEK NATAS,LABUHANBATU UTARA,LEE GROUP,100000000004
AKK-01-003,Kabupaten Labuhanbatu Utara,AKK,1,RINTIS KACANG,DESA PANGAKALAN,KEC. AEK NATAS,LABUHANBATU UTARA,BARTON INC,100000000005
